index,id0,id1,id2,id3,id4,id5,id6,id7,id8,id9
0,0.70526713,0.58699155,0.12425211,0.3682649,0.26395905,0.5535918,0.9874443,0.5139236,0.5373487,0.5185667
1,0.76000386,0.65491486,0.08756232,0.30388564,0.19342029,0.6160251,0.98476636,0.5708935,0.59932625,0.5793295
2,0.7177496,0.6312989,0.09343028,0.32158476,0.20406142,0.6036214,0.9795207,0.57544637,0.58950317,0.5799171
3,0.7866561,0.68627214,0.08526397,0.3085874,0.19150028,0.6453548,0.98104715,0.60211945,0.6248762,0.6065698
4,0.78750885,0.6866548,0.087261945,0.31844288,0.20531264,0.64394295,0.979977,0.6085178,0.628772,0.6095765
5,0.79422414,0.6934016,0.08938393,0.33911994,0.22769621,0.6499392,0.9815538,0.61922926,0.63649684,0.61620194
6,0.7970354,0.687233,0.08403981,0.33605745,0.22944716,0.6436703,0.9791475,0.6176175,0.6345361,0.6096471
7,0.8081709,0.68657756,0.08425632,0.34117812,0.24434897,0.6413567,0.9780139,0.6183688,0.63496906,0.6063476
8,0.8022679,0.688764,0.08533853,0.35095787,0.264311,0.645649,0.972795,0.62820137,0.6401563,0.6108815
9,0.80195796,0.6912705,0.083590895,0.35368997,0.28759432,0.6485528,0.97337735,0.6355528,0.6466501,0.6151543
10,0.80584455,0.6971122,0.0803757,0.36688623,0.30746296,0.6522151,0.96879137,0.642491,0.6523362,0.6184434
11,0.8060542,0.70223933,0.08315432,0.40636533,0.32457137,0.6514005,0.97111523,0.650898,0.65699625,0.6218595
12,0.806044,0.704983,0.08188194,0.40890408,0.30717915,0.6724599,0.9665972,0.653715,0.6582893,0.62090164
13,0.8039616,0.70841897,0.081707984,0.45928934,0.3254531,0.6845634,0.96635914,0.65701085,0.66118807,0.62139744
14,0.80576956,0.7113099,0.08014989,0.45129687,0.36363477,0.72853947,0.9630514,0.6636368,0.66475797,0.62239075
15,0.80701673,0.7108954,0.08091292,0.4901279,0.41892958,0.75926334,0.96526855,0.66833276,0.6658123,0.62151784
16,0.8089003,0.7117561,0.07883993,0.514427,0.44638962,0.7821966,0.9594939,0.6720314,0.6682412,0.6234111
17,0.8100363,0.7126864,0.073664874,0.5092299,0.49476352,0.7949703,0.95682365,0.6745728,0.6686705,0.6239227
18,0.8098872,0.7119386,0.076601475,0.50660354,0.5204232,0.7992017,0.9499427,0.67874134,0.6684455,0.6253446
19,0.8087809,0.7109569,0.07941702,0.46871483,0.5342806,0.8029318,0.95171654,0.6835831,0.66814476,0.62610114
20,0.8089051,0.7092088,0.08022097,0.42531934,0.45692912,0.802753,0.946282,0.6876523,0.66836095,0.6271889
21,0.80647635,0.704777,0.08468667,0.35111225,0.33643234,0.79732513,0.9496236,0.6890049,0.66669977,0.6261349
22,0.80424434,0.70437366,0.09217486,0.34661257,0.3127367,0.8010011,0.94337666,0.6939231,0.6660092,0.62585044
23,0.80315006,0.7023131,0.09241703,0.33088326,0.24575093,0.80555904,0.9428314,0.6991746,0.66358215,0.62443537
24,0.80390275,0.708336,0.093527794,0.32649207,0.24930218,0.8125117,0.9357921,0.704192,0.6640874,0.6254292
25,0.8055996,0.71285856,0.097284645,0.33075458,0.25730443,0.8152881,0.93288267,0.70365703,0.663896,0.62469935
26,0.80983025,0.7144978,0.09693563,0.3204713,0.25348455,0.82003677,0.9282154,0.7066798,0.6661831,0.6251145
27,0.80583644,0.71500814,0.09607476,0.28671286,0.2618021,0.8202559,0.92193496,0.70779294,0.6644692,0.6212486
28,0.80954367,0.71461636,0.101432204,0.29663938,0.27839088,0.8234501,0.92199135,0.7108604,0.6653432,0.6181786
29,0.80549574,0.7126565,0.108085275,0.28752697,0.3141395,0.82139885,0.91854644,0.7133893,0.664866,0.6174913
30,0.7965561,0.7132776,0.10612661,0.28109455,0.31139296,0.8184705,0.91672,0.72024894,0.6647793,0.6184944
31,0.78884876,0.71616966,0.09938499,0.27901062,0.31626654,0.8184285,0.9168844,0.72105384,0.663531,0.61701524
32,0.8021692,0.7162372,0.09732413,0.2790482,0.29799905,0.8173144,0.9153956,0.7224429,0.66367626,0.61397225
33,0.80128086,0.7134759,0.09354332,0.27277946,0.23621503,0.81693006,0.9122888,0.7218763,0.6624466,0.60789293
